Crop,Etm,Water Requirements,days of water usage,Fertilizer N,Fertilizer K,Fertilizer P,Root Depth,Residue,Disease,Pest,plant spacing,soil salinity,area,Soil_type,Crop (t-2),Crop (t-1),Crop (t),Next Crop
Durum Wheat,5,450,120,100,60,50,100,3000,Oidium,BAVISTIN FL,25,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Durum Wheat,5,450,120,100,60,50,100,3000,Oidium,CORBEL,25,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Durum Wheat,5,450,120,100,60,50,100,3000,Traitement d'hiver,FUNGURAN OH,25,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,OSAM,25,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,OPUS,25,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,REX DUO,25,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Durum Wheat,5,450,120,100,60,50,100,3000,Fusariose,SWING GOLD,25,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Durum Wheat,5,450,120,100,60,50,100,3000,Mauvaises herbes annuelles et vivaces,ROUNDUP,25,Moderate,Wide,Loamy,Legumes,Cereal,Maize ,Maize 
Durum Wheat,5,450,120,100,60,50,100,3000,Oidium,BAVISTIN FL,25,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Durum Wheat,5,450,120,100,60,50,100,3000,Oidium,CORBEL,25,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Durum Wheat,5,450,120,100,60,50,100,3000,Traitement d'hiver,FUNGURAN OH,25,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,OSAM,25,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,OPUS,25,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,REX DUO,25,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Durum Wheat,5,450,120,100,60,50,100,3000,Fusariose,SWING GOLD,25,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Durum Wheat,5,450,120,100,60,50,100,3000,Mauvaises herbes annuelles et vivaces,ROUNDUP,25,Moderate,Wide,Loamy, Mustard,Sunflower,Wheat ,Wheat 
Durum Wheat,5,450,120,100,60,50,100,3000,Oidium,BAVISTIN FL,25,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Durum Wheat,5,450,120,100,60,50,100,3000,Oidium,CORBEL,25,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Durum Wheat,5,450,120,100,60,50,100,3000,Traitement d'hiver,FUNGURAN OH,25,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,OSAM,25,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,OPUS,25,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,REX DUO,25,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Durum Wheat,5,450,120,100,60,50,100,3000,Fusariose,SWING GOLD,25,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Durum Wheat,5,450,120,100,60,50,100,3000,Mauvaises herbes annuelles et vivaces,ROUNDUP,25,Moderate,Wide,Loamy, Carrot,Onion,Cabbage ,Cabbage 
Durum Wheat,5,450,120,100,60,50,100,3000,Oidium,BAVISTIN FL,25,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
Durum Wheat,5,450,120,100,60,50,100,3000,Oidium,CORBEL,25,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
Durum Wheat,5,450,120,100,60,50,100,3000,Traitement d'hiver,FUNGURAN OH,25,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,OSAM,25,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,OPUS,25,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
Durum Wheat,5,450,120,100,60,50,100,3000,Septoriose,REX DUO,25,Moderate,Wide,Loamy, Sugarbeet,Peas,Onion ,Onion 
